,n,v
0,Tangential Force,0.0
0,Feed Force,0.0
0,Radial Force,0.0
0,X-Component,0.0
0,Y-Component,0.0
1,Tangential Force,0.0
1,Feed Force,0.0
1,Radial Force,0.0
1,X-Component,0.0
1,Y-Component,0.0
2,Tangential Force,0.0
2,Feed Force,0.0
2,Radial Force,0.0
2,X-Component,0.0
2,Y-Component,0.0
3,Tangential Force,217.6
3,Feed Force,-55.02
3,Radial Force,130.767
3,X-Component,53.56399999999999
3,Y-Component,131.37300000000002
4,Tangential Force,102.4
4,Feed Force,-14.817000000000002
4,Radial Force,65.262
4,X-Component,35.671
4,Y-Component,56.625
5,Tangential Force,12.8
5,Feed Force,-0.475
5,Radial Force,8.385
5,X-Component,5.593
5,Y-Component,6.263999999999999
6,Tangential Force,0.0
6,Feed Force,0.0
6,Radial Force,0.0
6,X-Component,0.0
6,Y-Component,0.0
7,Tangential Force,374.4
7,Feed Force,-82.38199999999998
7,Radial Force,228.99900000000002
7,X-Component,229.00900000000001
7,Y-Component,82.353
8,Tangential Force,374.4
8,Feed Force,-82.38199999999998
8,Radial Force,228.99900000000002
8,X-Component,229.00900000000001
8,Y-Component,82.353
9,Tangential Force,374.4
9,Feed Force,-82.374
9,Radial Force,229.001
9,X-Component,229.013
9,Y-Component,82.345
10,Tangential Force,374.4
10,Feed Force,-82.374
10,Radial Force,229.001
10,X-Component,229.013
10,Y-Component,82.345
11,Tangential Force,0.0
11,Feed Force,0.0
11,Radial Force,0.0
11,X-Component,0.0
11,Y-Component,0.0
12,Tangential Force,0.0
12,Feed Force,0.0
12,Radial Force,0.0
12,X-Component,0.0
12,Y-Component,0.0
13,Tangential Force,0.0
13,Feed Force,0.0
13,Radial Force,0.0
13,X-Component,0.0
13,Y-Component,0.0
14,Tangential Force,0.0
14,Feed Force,0.0
14,Radial Force,0.0
14,X-Component,0.0
14,Y-Component,0.0
15,Tangential Force,0.0
15,Feed Force,0.0
15,Radial Force,0.0
15,X-Component,0.0
15,Y-Component,0.0
16,Tangential Force,0.0
16,Feed Force,0.0
16,Radial Force,0.0
16,X-Component,0.0
16,Y-Component,0.0
17,Tangential Force,0.0
17,Feed Force,0.0
17,Radial Force,0.0
17,X-Component,0.0
17,Y-Component,0.0
18,Tangential Force,0.0
18,Feed Force,0.0
18,Radial Force,0.0
18,X-Component,0.0
18,Y-Component,0.0
19,Tangential Force,0.0
19,Feed Force,0.0
19,Radial Force,0.0
19,X-Component,0.0
19,Y-Component,0.0
20,Tangential Force,0.0
20,Feed Force,0.0
20,Radial Force,0.0
20,X-Component,0.0
20,Y-Component,0.0
21,Tangential Force,76.80000000000003
21,Feed Force,-6.455
21,Radial Force,-49.88800000000001
21,X-Component,6.455
21,Y-Component,49.88800000000001
22,Tangential Force,76.80000000000003
22,Feed Force,-6.455
22,Radial Force,-49.88800000000001
22,X-Component,6.455
22,Y-Component,49.88800000000001
23,Tangential Force,76.80000000000003
23,Feed Force,-6.455
23,Radial Force,-49.88800000000001
23,X-Component,6.455
23,Y-Component,49.88800000000001
24,Tangential Force,76.80000000000003
24,Feed Force,-6.455
24,Radial Force,-49.88800000000001
24,X-Component,6.455
24,Y-Component,49.88800000000001
25,Tangential Force,76.80000000000003
25,Feed Force,-6.455
25,Radial Force,-49.88800000000001
25,X-Component,6.455
25,Y-Component,49.88800000000001
26,Tangential Force,1865.6
26,Feed Force,-1010.569
26,Radial Force,436.44000000000005
26,X-Component,-619.3280000000002
26,Y-Component,910.0319999999997
27,Tangential Force,2700.7999999999993
27,Feed Force,-1437.6629999999993
27,Radial Force,122.53500000000014
27,X-Component,-1148.1359999999995
27,Y-Component,873.8809999999997
28,Tangential Force,460.79999999999984
28,Feed Force,-147.817
28,Radial Force,257.09000000000003
28,X-Component,12.971999999999998
28,Y-Component,296.26899999999995
29,Tangential Force,0.0
29,Feed Force,0.0
29,Radial Force,0.0
29,X-Component,0.0
29,Y-Component,0.0
30,Tangential Force,0.0
30,Feed Force,0.0
30,Radial Force,0.0
30,X-Component,0.0
30,Y-Component,0.0
31,Tangential Force,307.2000000000001
31,Feed Force,-81.468
31,Radial Force,-181.675
31,X-Component,81.468
31,Y-Component,181.675
32,Tangential Force,307.2000000000001
32,Feed Force,-81.46300000000001
32,Radial Force,-181.676
32,X-Component,81.46300000000001
32,Y-Component,181.676
33,Tangential Force,307.2000000000001
33,Feed Force,-81.46300000000001
33,Radial Force,-181.676
33,X-Component,81.46300000000001
33,Y-Component,181.676
34,Tangential Force,307.2000000000001
34,Feed Force,-81.468
34,Radial Force,-181.675
34,X-Component,81.468
34,Y-Component,181.675
35,Tangential Force,307.2000000000001
35,Feed Force,-81.46300000000001
35,Radial Force,-181.676
35,X-Component,81.46300000000001
35,Y-Component,181.676
36,Tangential Force,0.0
36,Feed Force,0.0
36,Radial Force,0.0
36,X-Component,0.0
36,Y-Component,0.0
37,Tangential Force,0.0
37,Feed Force,0.0
37,Radial Force,0.0
37,X-Component,0.0
37,Y-Component,0.0
38,Tangential Force,0.0
38,Feed Force,0.0
38,Radial Force,0.0
38,X-Component,0.0
38,Y-Component,0.0
39,Tangential Force,0.0
39,Feed Force,0.0
39,Radial Force,0.0
39,X-Component,0.0
39,Y-Component,0.0
40,Tangential Force,0.0
40,Feed Force,0.0
40,Radial Force,0.0
40,X-Component,0.0
40,Y-Component,0.0
41,Tangential Force,284.8
41,Feed Force,-100.564
41,Radial Force,156.265
41,X-Component,39.389
41,Y-Component,181.605
42,Tangential Force,284.8
42,Feed Force,-78.26300000000002
42,Radial Force,167.77200000000002
42,X-Component,63.29599999999999
42,Y-Component,173.97400000000005
43,Tangential Force,201.6
43,Feed Force,-42.417
43,Radial Force,124.14899999999996
43,X-Component,57.797
43,Y-Component,117.78100000000002
44,Tangential Force,105.6
44,Feed Force,-15.581
44,Radial Force,67.21799999999999
44,X-Component,36.514
44,Y-Component,58.548
45,Tangential Force,0.0
45,Feed Force,0.0
45,Radial Force,0.0
45,X-Component,0.0
45,Y-Component,0.0
46,Tangential Force,0.0
46,Feed Force,0.0
46,Radial Force,0.0
46,X-Component,0.0
46,Y-Component,0.0
47,Tangential Force,0.0
47,Feed Force,0.0
47,Radial Force,0.0
47,X-Component,0.0
47,Y-Component,0.0
48,Tangential Force,0.0
48,Feed Force,0.0
48,Radial Force,0.0
48,X-Component,0.0
48,Y-Component,0.0
49,Tangential Force,0.0
49,Feed Force,0.0
49,Radial Force,0.0
49,X-Component,0.0
49,Y-Component,0.0
50,Tangential Force,521.6
50,Feed Force,-136.47799999999998
50,Radial Force,308.9539999999999
50,X-Component,308.975
